Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2014-04-09,1309.7500
2014-04-10,1321.5000
2014-04-11,1317.2500
2014-04-14,1324.5000
2014-04-15,1311.5000
2014-04-16,1299.0000
2014-04-17,1299.2500
2014-04-22,1290.7500
2014-04-23,1283.5000
2014-04-24,1283.5000
2014-04-25,1294.2500
2014-04-28,1302.0000
2014-04-29,1289.7500
2014-04-30,1292.0000
2014-05-01,1283.0000
2014-05-02,1285.0000
2014-05-06,1308.5000
2014-05-07,1311.0000
2014-05-08,1291.2500
2014-05-09,1289.0000
2014-05-12,1292.7500
2014-05-13,1292.7500
2014-05-14,1300.2500
2014-05-15,1303.7500
2014-05-16,1293.7500
2014-05-19,1301.0000
2014-05-20,1291.5000
2014-05-21,1292.0000
2014-05-22,1294.5000
2014-05-23,1292.0000
